rank,name,year,type,domains,mechanisms,rating_avg,complexity,bgg_id
131,The Resistance: Avalon,2012,boardgame,Party Games,"Hidden Roles, Roles with Asymmetric Information, Simultaneous Action Selection, Team-Based Game, Traitor Game, Variable Player Powers, Voting",7.58,1.77,128882
132,Aeon's End: War Eternal,2017,boardgame,Strategy Games,"Card Drafting, Cooperative Game, Deck Bag and Pool Building, Hand Management, Variable Phase Order, Variable Player Powers",8.41,2.91,218417
133,Dinosaur Island,2017,boardgame,Strategy Games,"Action Points, Dice Rolling, Income, Set Collection, Tile Placement, Worker Placement",7.72,3.04,221194
134,PARKS,2019,boardgame,Family Games,"Card Drafting, Contracts, Modular Board, Set Collection, Solo / Solitaire Game, Track Movement, Turn Order: Claim Action, Worker Placement",7.89,2.17,266524
135,A Game of Thrones: The Board Game (Second Edition),2011,boardgame,Strategy Games,"Area Majority / Influence, Area Movement, Auction/Bidding, Auction: Sealed Bid, Card Play Conflict Resolution, Hand Management, Order Counters, Player Elimination, Prisoner's Dilemma, Simultaneous Action Selection, Variable Player Powers",7.60,3.72,103343
136,Castles of Mad King Ludwig,2014,boardgame,Strategy Games,"Card Drafting, End Game Bonuses, I Cut You Choose, Increase Value of Unchosen Resources, Pattern Building, Set Collection, Tile Placement, Turn Order: Progressive",7.56,2.66,155426
137,Eclipse: Second Dawn for the Galaxy,2020,boardgame,Strategy Games,"Alliances, Area Majority / Influence, Area Movement, Area-Impulse, Critical Hits and Failures, Dice Rolling, Grid Movement, Income, Kill Steal, Modular Board, Passed Action Token, Player Elimination, Tile Placement, Variable Player Powers",8.80,3.48,246900
138,Jaipur,2009,boardgame,Family Games,"Card Drafting, Hand Management, Market, Score-and-Reset Game, Set Collection",7.51,1.49,54043
139,Hansa Teutonica,2009,boardgame,Strategy Games,"Action Points, Area Majority / Influence, End Game Bonuses, Network and Route Building, Ownership, Tech Trees / Tech Tracks",7.65,3.12,43015
140,Memoir '44,2004,boardgame,Wargames,"Area Majority / Influence, Campaign / Battle Card Driven, Command Cards, Dice Rolling, Die Icon Resolution, Grid Movement, Hand Management, Hexagon Grid, Line of Sight, Modular Board, Movement Points, Scenario / Mission / Campaign Game, Simulation",7.56,2.27,10630
141,Ora et Labora,2011,boardgame,Strategy Games,"Increase Value of Unchosen Resources, Modular Board, Network and Route Building, Worker Placement, Worker Placement, Different Worker Types",7.71,3.90,70149
142,Chronicles of Crime,2018,boardgame,Thematic Games,"Cooperative Game, Scenario / Mission / Campaign Game, Storytelling",7.80,2.11,239188
143,Commands & Colors: Ancients,2006,boardgame,Wargames,"Campaign / Battle Card Driven, Command Cards, Dice Rolling, Hand Management, Hexagon Grid, Modular Board, Scenario / Mission / Campaign Game, Simulation",7.78,2.69,14105
144,Cosmic Encounter,2008,boardgame,"Strategy Games, Thematic Games","Alliances, Card Play Conflict Resolution, Hand Management, Interrupts, Negotiation, Prisoner's Dilemma, Race, Simultaneous Action Selection, Take That, Trading, Variable Player Powers",7.54,2.57,39463
145,T.I.M.E Stories,2015,boardgame,Thematic Games,"Cooperative Game, Dice Rolling, Move Through Deck, Narrative Choice / Paragraph, Storytelling, Variable Player Powers",7.55,2.61,146508
146,Sagrada,2017,boardgame,"Abstract Games, Family Games","Contracts, Dice Rolling, Drafting, Pattern Building, Set Collection, Solo / Solitaire Game",7.53,1.93,199561
147,Xia: Legends of a Drift System,2014,boardgame,"Strategy Games, Thematic Games","Action Points, Dice Rolling, Grid Movement, Map Addition, Modular Board, Pick-up and Deliver, Roll / Spin and Move, Tile Placement, Variable Player Powers",7.86,3.17,82222
148,Suburbia,2012,boardgame,Strategy Games,"Auction: Dutch, Card Drafting, Catch the Leader, Hexagon Grid, Set Collection, Tile Placement",7.52,2.78,123260
149,This War of Mine: The Board Game,2017,boardgame,Thematic Games,"Action Points, Cooperative Game, Dice Rolling, Grid Movement, Push Your Luck, Role Playing, Simulation, Solo / Solitaire Game, Storytelling, Variable Player Powers, Worker Placement",7.83,3.25,188920
150,Azul: Summer Pavilion,2019,boardgame,"Abstract Games, Family Games","Drafting, Pattern Building, Set Collection",7.83,2.05,287954
151,Nations,2013,boardgame,Strategy Games,"Card Drafting, Events, Turn Order: Pass Order, Variable Player Powers, Worker Placement",7.64,3.54,126042
152,Detective: A Modern Crime Board Game,2018,boardgame,Thematic Games,"Cooperative Game, Solo / Solitaire Game, Storytelling",7.89,2.72,223321
153,Near and Far,2017,boardgame,Thematic Games,"Card Drafting, Dice Rolling, Narrative Choice / Paragraph, Network and Route Building, Scenario / Mission / Campaign Game, Set Collection, Storytelling, Variable Player Powers, Worker Placement",7.81,2.82,195421
154,Ticket to Ride: Nordic Countries,2007,boardgame,Family Games,"Card Drafting, Hand Management, Network and Route Building, Set Collection",7.64,1.98,31627
155,Village,2011,boardgame,Strategy Games,"Action Drafting, Area Majority / Influence, Contracts, Set Collection, Turn Order: Claim Action, Worker Placement, Worker Placement, Different Worker Types",7.53,3.07,104006
156,Paths of Glory,1999,boardgame,Wargames,"Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement",8.06,3.84,91
157,Combat Commander: Europe,2006,boardgame,Wargames,"Campaign / Battle Card Driven, Grid Movement, Hexagon Grid, Simulation, Variable Phase Order",7.94,3.25,21050
158,Magic: The Gathering,1993,boardgame,Customizable Games,"Deck Construction, Hand Management, Interrupts, Take That",7.52,3.22,463
159,Captain Sonar,2016,boardgame,"Party Games, Thematic Games","Grid Movement, Hidden Movement, Line Drawing, Real-Time, Role Playing, Secret Unit Deployment, Simulation, Team-Based Game",7.57,2.15,171131
160,Rajas of the Ganges,2017,boardgame,Strategy Games,"Connections, Dice Rolling, Network and Route Building, Race, Tile Placement, Worker Placement",7.70,2.86,220877
161,Codenames: Duet,2017,boardgame,Family Games,"Communication Limits, Cooperative Game, Push Your Luck, Team-Based Game",7.57,1.34,224037
162,Sekigahara: The Unification of Japan,2011,boardgame,Wargames,"Action Points, Card Play Conflict Resolution, Force Commitment, Hand Management, Point to Point Movement, Secret Unit Deployment, Turn Order: Auction",8.04,2.77,25021
163,Just One,2018,boardgame,Party Games,"Communication Limits, Cooperative Game",7.60,1.05,254640
164,The Quest for El Dorado,2017,boardgame,Family Games,"Card Drafting, Deck Bag and Pool Building, Grid Movement, Hand Management, Hexagon Grid, Modular Board, Race",7.61,1.93,217372
165,Star Realms: Colony Wars,2015,boardgame,Strategy Games,"Card Drafting, Deck Bag and Pool Building, Hand Management, Take That",7.87,1.90,182631
166,Splendor,2014,boardgame,Family Games,"Card Drafting, Contracts, Drafting, Race, Set Collection",7.45,1.80,148228
167,Santorini,2016,boardgame,"Abstract Games, Family Games","Race, Square Grid, Team-Based Game, Three Dimensional Movement, Variable Player Powers",7.48,1.73,194655
168,La Granja,2014,boardgame,Strategy Games,"Area Majority / Influence, Automatic Resource Growth, Dice Rolling, Drafting, Hand Management, Income, Simultaneous Action Selection, Variable Player Powers",7.67,3.58,146886
169,It's a Wonderful World,2019,boardgame,Strategy Games,"Card Drafting, Drafting, End Game Bonuses, Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers",7.88,2.27,271324
170,Coimbra,2018,boardgame,Strategy Games,"Card Drafting, Dice Rolling, End Game Bonuses, Set Collection, Variable Set-up, Worker Placement with Dice Workers",7.69,3.28,245638
171,Watergate,2019,boardgame,Strategy Games,"Action/Event, Connections, Hand Management, Tug of War",8.00,2.25,274364
172,Tichu,1991,boardgame,Strategy Games,"Hand Management, Ladder Climbing, Predictive Bid, Team-Based Game",7.58,2.34,215
173,Go,-2200,boardgame,Abstract Games,"Enclosure, Square Grid",7.64,4.00,188
174,Ticket to Ride,2004,boardgame,Family Games,"Card Drafting, End Game Bonuses, Hand Management, Network and Route Building, Push Your Luck, Set Collection",7.42,1.85,9209
175,Dune: Imperium,2020,boardgame,"Strategy Games, Thematic Games","Card Play Conflict Resolution, Deck Bag and Pool Building, Variable Player Powers, Worker Placement",8.45,2.88,316554
176,Legendary: A Marvel Deck Building Game,2012,boardgame,Thematic Games,"Deck Bag and Pool Building, Events, Semi-Cooperative Game, Solo / Solitaire Game, Variable Set-up",7.57,2.44,129437
177,Ra,1999,boardgame,Strategy Games,"Auction/Bidding, Auction: Once Around, Closed Economy Auction, Constrained Bidding, Push Your Luck, Set Collection",7.47,2.35,12
178,Carcassonne,2000,boardgame,Family Games,"Area Majority / Influence, Map Addition, Tile Placement",7.42,1.91,822
179,Zombicide: Black Plague,2015,boardgame,Thematic Games,"Cooperative Game, Dice Rolling, Modular Board, Scenario / Mission / Campaign Game, Turn Order: Progressive, Variable Player Powers",7.68,2.51,176189
180,Kanban: Driver's Edition,2014,boardgame,Strategy Games,"Action Points, Commodity Speculation, Variable Phase Order, Worker Placement",7.84,4.35,109276
181,Arcadia Quest,2014,boardgame,Thematic Games,"Dice Rolling, Grid Movement, Modular Board, Scenario / Mission / Campaign Game, Take That, Variable Player Powers",7.71,2.53,155068
182,Goa,2004,boardgame,Strategy Games,"Auction/Bidding, Auction: Once Around, Hand Management, Push Your Luck, Tech Trees / Tech Tracks",7.58,3.38,9216
183,Horrified,2019,boardgame,Thematic Games,"Action Points, Cooperative Game, Dice Rolling, Pick-up and Deliver, Point to Point Movement, Solo / Solitaire Game, Variable Player Powers, Variable Set-up",7.84,2.05,282524
184,The Princes of Florence,2000,boardgame,Strategy Games,"Auction/Bidding, Grid Coverage, Tile Placement",7.53,3.25,555
185,Cyclades,2009,boardgame,Strategy Games,"Area Majority / Influence, Area Movement, Auction/Bidding, Auction: Fixed Placement, Card Drafting, Dice Rolling, Set Collection, Variable Phase Order",7.52,2.83,54998
186,Secret Hitler,2016,boardgame,Party Games,"Hidden Roles, Player Elimination, Team-Based Game, Traitor Game, Voting",7.57,1.69,188834
187,Cthulhu: Death May Die,2019,boardgame,Thematic Games,"Action Points, Cooperative Game, Dice Rolling, Variable Player Powers",8.16,2.42,253344
188,Sushi Go Party!,2016,boardgame,Family Games,"Card Drafting, Drafting, End Game Bonuses, Hand Management, Set Collection, Simultaneous Action Selection",7.46,1.32,192291
189,Steam,2009,boardgame,Strategy Games,"Auction/Bidding, Loans, Network and Route Building, Ownership, Pick-up and Deliver, Tile Placement",7.59,3.46,27833
190,YINSH,2003,boardgame,Abstract Games,"Catch the Leader, Grid Movement, Pattern Building",7.69,2.70,7854
191,Viticulture,2013,boardgame,Strategy Games,"Hand Management, Turn Order: Progressive, Worker Placement",7.59,2.93,128621
192,Galaxy Trucker,2007,boardgame,Thematic Games,"Dice Rolling, Events, Real-Time, Relative Movement, Team-Based Game, Tile Placement, Track Movement",7.41,2.33,31481
193,Deception: Murder in Hong Kong,2014,boardgame,Party Games,"Deduction, Events, Hidden Roles, Storytelling, Team-Based Game, Traitor Game",7.50,1.60,156129
194,Tyrants of the Underdark,2016,boardgame,Strategy Games,"Area Majority / Influence, Deck Bag and Pool Building",7.89,2.57,189932
195,Roll Player,2016,boardgame,Strategy Games,"Card Drafting, Dice Rolling, Drafting, Role Playing, Set Collection, Variable Player Powers",7.53,2.38,169426
196,Shogun,2006,boardgame,Strategy Games,"Action Queue, Area Majority / Influence, Area Movement, Auction/Bidding, Cube Tower, Simultaneous Action Selection, Variable Phase Order",7.54,3.37,20551
197,Isle of Skye: From Chieftain to King,2015,boardgame,"Family Games, Strategy Games","Auction/Bidding, Catch the Leader, Set Collection, Tile Placement, Turn Order: Progressive",7.44,2.25,176494
198,1830: Railways & Robber Barons,1986,boardgame,Strategy Games,"Auction/Bidding, Investment, Market, Network and Route Building, Ownership, Stock Holding, Tile Placement, Victory Points as a Resource",7.88,4.16,421
199,Flamme Rouge,2016,boardgame,Family Games,"Catch the Leader, Hand Management, Modular Board, Race, Simulation, Simultaneous Action Selection",7.56,1.67,199478
200,Century: Golem Edition,2017,boardgame,"Family Games, Strategy Games","Action Retrieval, Card Drafting, Contracts, Deck Bag and Pool Building, Hand Management, Increase Value of Unchosen Resources, Set Collection",7.71,1.65,232832
201,Hero Realms,2016,boardgame,"Customizable Games, Strategy Games","Card Drafting, Deck Bag and Pool Building, Hand Management, Take That",7.60,1.90,198994
202,Glory to Rome,2005,boardgame,Strategy Games,"End Game Bonuses, Follow, Hand Management, Set Collection, Sudden Death Ending, Variable Phase Order",7.49,2.93,19857
203,Lewis & Clark: The Expedition,2013,boardgame,Strategy Games,"Action Retrieval, Card Drafting, Hand Management, Race, Resource to Move, Solo / Solitaire Game, Track Movement, Worker Placement",7.49,3.34,140620
204,1960: The Making of the President,2007,boardgame,Strategy Games,"Action/Event, Area Majority / Influence, Campaign / Battle Card Driven, Hand Management",7.61,3.21,27708
205,Power Grid Deluxe: Europe/North America,2014,boardgame,Strategy Games,"Auction: Turn Order Until Pass, Income, Market, Network and Route Building",8.01,3.19,155873
206,Hanamikoji,2013,boardgame,Family Games,"Area Majority / Influence, Card Drafting, Force Commitment, Hand Management, I Cut You Choose",7.54,1.71,158600
207,Bora Bora,2013,boardgame,Strategy Games,"Dice Rolling, Set Collection, Worker Placement, Worker Placement with Dice Workers",7.56,3.74,127060
208,Imperial,2006,boardgame,Strategy Games,"Advantage Token, Area Majority / Influence, Area Movement, Investment, Ownership, Rondel, Stock Holding",7.61,3.57,24181
209,Dungeon Petz,2011,boardgame,"Strategy Games, Thematic Games","Auction/Bidding, Hand Management, Simultaneous Action Selection, Worker Placement",7.47,3.60,97207
210,Samurai,1998,boardgame,Strategy Games,"Area Majority / Influence, Hand Management, Hexagon Grid, Once-Per-Game Abilities, Set Collection, Tile Placement",7.45,2.49,3
211,Space Base,2018,boardgame,Family Games,"Card Drafting, Dice Rolling, Random Production",7.59,2.13,242302
212,Seasons,2012,boardgame,Strategy Games,"Card Drafting, Dice Rolling, Drafting, Hand Management, Take That, Victory Points as a Resource",7.41,2.77,108745
213,Imperial Settlers,2014,boardgame,Strategy Games,"Card Drafting, Contracts, Drafting, Hand Management, Take That, Variable Player Powers",7.41,2.77,154203
214,Pulsar 2849,2017,boardgame,Strategy Games,"Dice Rolling, Drafting, Point to Point Movement, Variable Player Powers, Worker Placement with Dice Workers",7.73,3.34,228341
215,Dixit: Odyssey,2011,boardgame,Party Games,"Storytelling, Targeted Clues, Voting",7.45,1.19,92828
216,Marco Polo II: In the Service of the Khan,2019,boardgame,Strategy Games,"Contracts, Dice Rolling, Point to Point Movement, Resource to Move, Variable Player Powers, Worker Placement, Worker Placement with Dice Workers",8.17,3.38,283948
217,Age of Empires III: The Age of Discovery,2007,boardgame,Strategy Games,"Area Majority / Influence, Set Collection, Turn Order: Claim Action, Worker Placement, Worker Placement, Different Worker Types",7.54,3.13,22545
218,Kingdomino,2016,boardgame,Family Games,"Card Drafting, Tile Placement",7.35,1.21,204583
219,Lords of Hellas,2018,boardgame,Strategy Games,"Area Majority / Influence, Area Movement, Card Drafting, Card Play Conflict Resolution, Hand Management, Solo / Solitaire Game, Variable Player Powers, Worker Placement",7.85,3.32,222509
220,Space Alert,2008,boardgame,Thematic Games,"Action Queue, Area Movement, Cooperative Game, Elapsed Real Time Ending, Hand Management, Real-Time, Simultaneous Action Selection, Solo / Solitaire Game",7.44,2.96,38453
221,Modern Art,1992,boardgame,Strategy Games,"Auction/Bidding, Auction: English, Auction: Once Around, Auction: Sealed Bid, Auction: Turn Order Until Pass, Commodity Speculation, Hand Management, Victory Points as a Resource",7.40,2.30,118
222,Fury of Dracula (Third/Fourth Edition),2015,boardgame,Thematic Games,"Hidden Movement, Point to Point Movement, Resource to Move, Secret Unit Deployment, Team-Based Game, Variable Player Powers",7.51,3.22,181279
223,Glen More II: Chronicles,2019,boardgame,Strategy Games,"Commodity Speculation, Dice Rolling, Grid Movement, Market, Rondel, Set Collection, Tile Placement, Time Track",8.02,3.05,265188
224,Dead of Winter: The Long Night,2016,boardgame,Thematic Games,"Action Points, Area Movement, Cooperative Game, Dice Rolling, Hand Management, Push Your Luck, Storytelling, Traitor Game, Variable Player Powers, Voting",7.65,3.42,193037
225,Battle Line,2000,boardgame,Strategy Games,"Card Play Conflict Resolution, Hand Management, Melding and Splaying, Set Collection",7.42,1.90,760
226,Summoner Wars: Master Set,2011,boardgame,"Customizable Games, Strategy Games","Deck Construction, Dice Rolling, Grid Movement, Hand Management, Stat Check Resolution, Variable Player Powers",7.52,2.51,93260
227,Rococo,2013,boardgame,Strategy Games,"Action Retrieval, Area Majority / Influence, Card Drafting, Deck Bag and Pool Building, Hand Management, Set Collection",7.58,3.09,144344
228,Exit: The Game - The Abandoned Cabin,2016,boardgame,"Family Games, Thematic Games",Cooperative Game,7.53,2.54,203420
229,Dominion (Second Edition),2016,boardgame,Strategy Games,"Card Drafting, Deck Bag and Pool Building, Hand Management",7.93,2.18,209418
230,Navegador,2010,boardgame,Strategy Games,"Advantage Token, Area Movement, Rondel",7.55,3.09,66589
231,Runewars,2010,boardgame,"Strategy Games, Thematic Games","Area Majority / Influence, Auction/Bidding, Grid Movement, Modular Board, Simultaneous Action Selection, Variable Player Powers",7.63,3.78,59294
232,The Manhattan Project: Energy Empire,2016,boardgame,Strategy Games,"Dice Rolling, Worker Placement, Worker Placement, Different Worker Types",7.79,3.03,176734
233,Tapestry,2019,boardgame,Strategy Games,"Card Drafting, Chaining, Dice Rolling, Grid Coverage, Hand Management, Hexagon Grid, Income, Map Addition, Solo / Solitaire Game, Square Grid, Tech Trees / Tech Tracks, Tile Placement, Track Movement, Variable Player Powers",7.49,2.88,286096
234,Alien Frontiers,2010,boardgame,Strategy Games,"Area Majority / Influence, Card Drafting, Dice Rolling, Worker Placement with Dice Workers",7.41,2.57,48726
235,Indonesia,2005,boardgame,Strategy Games,"Area Majority / Influence, Auction/Bidding, Pick-up and Deliver, Stock Holding",7.85,3.98,19777
236,Imperial 2030,2009,boardgame,Strategy Games,"Area Majority / Influence, Area Movement, Investment, Ownership, Rondel, Stock Holding",7.69,3.50,54138
237,Undaunted: Normandy,2019,boardgame,"Thematic Games, Wargames","Card Drafting, Deck Bag and Pool Building, Dice Rolling, Modular Board, Simulation",7.90,2.25,268864
238,Burgle Bros.,2015,boardgame,"Family Games, Thematic Games","Action Points, Cooperative Game, Dice Rolling, Grid Movement, Map Addition, Modular Board, Multiple Maps, Solo / Solitaire Game, Square Grid, Three Dimensional Movement, Variable Player Powers",7.54,2.31,172081
239,Hannibal: Rome vs. Carthage,1996,boardgame,Wargames,"Area Majority / Influence, Campaign / Battle Card Driven, Dice Rolling, Events, Point to Point Movement, Simulation",7.80,3.45,234
240,Concordia Venus,2018,boardgame,Strategy Games,"Action Retrieval, Auction: Dutch, Card Drafting, Deck Bag and Pool Building, Hand Management, Point to Point Movement, Team-Based Game",8.36,3.08,256916
241,BattleLore (Second Edition),2013,boardgame,Wargames,"Campaign / Battle Card Driven, Command Cards, Dice Rolling, Grid Movement, Modular Board, Variable Player Powers",7.74,2.70,146439
242,Vindication,2018,boardgame,Strategy Games,"Area Majority / Influence, Dice Rolling, Hexagon Grid, Map Addition, Modular Board, Variable Phase Order",7.88,3.07,224783
243,Antiquity,2004,boardgame,Strategy Games,"Grid Coverage, Modular Board, Tile Placement, Trading",7.88,4.31,13122
244,Lost Ruins of Arnak,2020,boardgame,Strategy Games,"Chaining, Deck Bag and Pool Building, Drafting, Move Through Deck, Once-Per-Game Abilities, Resource to Move, Tile Placement, Turn Order: Progressive, Worker Placement",8.25,2.76,312484
245,Western Legends,2018,boardgame,Thematic Games,"Action Points, Area Movement, Betting and Bluffing, Dice Rolling, End Game Bonuses, Hand Management, Pick-up and Deliver, Take That, Variable Player Powers",7.66,2.78,232405
246,Cthulhu Wars,2015,boardgame,"Strategy Games, Thematic Games","Action Points, Area Majority / Influence, Area Movement, Dice Rolling, Variable Player Powers",7.92,3.14,139976
247,Hive,2000,boardgame,Abstract Games,"Enclosure, Grid Movement, Hexagon Grid, Pieces as Map, Slide/Push, Three Dimensional Movement, Tile Placement",7.32,2.33,2655
248,Onitama,2014,boardgame,Abstract Games,"Grid Movement, Hand Management, Pattern Movement, Static Capture",7.40,1.71,160477
249,Ethnos,2017,boardgame,Strategy Games,"Area Majority / Influence, Card Drafting, Hand Management, Set Collection",7.48,2.03,206718
250,Mage Wars Arena,2012,boardgame,Customizable Games,"Deck Construction, Dice Rolling, Grid Movement, Line of Sight, Simultaneous Action Selection, Turn Order: Progressive, Variable Player Powers",7.64,3.67,101721
251,Century: Spice Road,2017,boardgame,"Family Games, Strategy Games","Action Retrieval, Card Drafting, Contracts, Deck Bag and Pool Building, Hand Management, Increase Value of Unchosen Resources, Set Collection",7.37,1.77,209685
252,Aeon's End: Legacy,2019,boardgame,"Strategy Games, Thematic Games","Card Drafting, Cooperative Game, Deck Bag and Pool Building, Hand Management, Legacy Game, Solo / Solitaire Game, Variable Phase Order, Variable Player Powers",8.22,2.84,241451
253,Above and Below,2015,boardgame,Thematic Games,"Action Points, Dice Rolling, Narrative Choice / Paragraph, Set Collection, Storytelling, Trading",7.43,2.53,172818
254,Nemo's War (Second Edition),2017,boardgame,Thematic Games,"Action Points, Area Majority / Influence, Area Movement, Cooperative Game, Dice Rolling, Push Your Luck, Simulation, Solo / Solitaire Game, Time Track",7.99,3.15,187617
255,Small World,2009,boardgame,"Family Games, Strategy Games","Area Majority / Influence, Area Movement, Dice Rolling, Increase Value of Unchosen Resources, Variable Player Powers, Victory Points as a Resource",7.26,2.36,40692
256,Arboretum,2015,boardgame,Family Games,"Hand Management, Pattern Building, Rock-Paper-Scissors, Set Collection, Tile Placement",7.39,2.16,140934
257,Mysterium,2015,boardgame,"Family Games, Thematic Games","Communication Limits, Cooperative Game, Deduction, Finale Ending, Hand Management, Pattern Recognition",7.30,1.91,181304
258,Dungeon Lords,2009,boardgame,Strategy Games,"Action Queue, Hand Management, Simultaneous Action Selection, Tile Placement, Worker Placement",7.39,3.56,45315
259,War Chest,2018,boardgame,Abstract Games,"Area Majority / Influence, Deck Bag and Pool Building, Grid Movement, Hand Management, Team-Based Game, Variable Player Powers",7.95,2.29,249259
260,The Taverns of Tiefenthal,2019,boardgame,Strategy Games,"Deck Bag and Pool Building, Dice Rolling, Drafting, Worker Placement, Worker Placement with Dice Workers",7.63,2.66,269207
261,KLASK,2014,boardgame,"Family Games, Party Games",Real-Time,7.65,1.05,165722
262,Telestrations,2009,boardgame,Party Games,Paper-and-Pencil,7.40,1.08,46213
263,Bruges,2013,boardgame,Strategy Games,"Dice Rolling, Hand Management",7.43,2.75,136888
264,Sid Meier's Civilization: The Board Game,2010,boardgame,Strategy Games,"Card Drafting, Deck Bag and Pool Building, Grid Movement, Hand Management, Modular Board, Rock-Paper-Scissors, Trading, Variable Player Powers",7.41,3.89,77130
265,Star Wars: Outer Rim,2019,boardgame,Thematic Games,"Dice Rolling, Modular Board, Pick-up and Deliver, Trading, Variable Player Powers",7.74,2.47,271896
266,Letters from Whitechapel,2011,boardgame,"Strategy Games, Thematic Games","Hidden Movement, Memory, Point to Point Movement, Secret Unit Deployment, Team-Based Game",7.40,2.66,59959
267,Tikal,1999,boardgame,Strategy Games,"Action Points, Area Majority / Influence, Auction/Bidding, Grid Movement, Hexagon Grid, Map Addition, Modular Board, Set Collection, Tile Placement",7.34,2.80,54
268,Heaven & Ale,2017,boardgame,Strategy Games,"Grid Coverage, Highest-Lowest Scoring, Once-Per-Game Abilities, Rondel, Tile Placement, Track Movement, Turn Order: Claim Action, Turn Order: Pass Order",7.58,3.24,227789
269,Tiny Epic Galaxies,2015,boardgame,Strategy Games,"Area Majority / Influence, Card Drafting, Dice Rolling, End Game Bonuses, Follow, Race, Re-rolling and Locking, Solo / Solitaire Game, Track Movement, Variable Phase Order, Variable Player Powers",7.37,2.16,163967
270,Merchants & Marauders,2010,boardgame,Thematic Games,"Action Points, Area Movement, Bias, Dice Rolling, Pick-up and Deliver, Race, Variable Player Powers, Variable Set-up",7.41,3.24,25292
271,Cryptid,2018,boardgame,"Family Games, Strategy Games","Deduction, Hexagon Grid, Modular Board, Pattern Recognition",7.52,2.21,246784
272,The Resistance,2009,boardgame,Party Games,"Hidden Roles, Memory, Roles with Asymmetric Information, Simultaneous Action Selection, Team-Based Game, Traitor Game, Voting",7.28,1.61,41114
273,Glass Road,2013,boardgame,Strategy Games,"Card Drafting, Set Collection, Simultaneous Action Selection, Tile Placement, Variable Phase Order",7.45,2.97,143693
274,Mission: Red Planet (Second Edition),2015,boardgame,Strategy Games,"Action Retrieval, Area Majority / Influence, Area Movement, Hand Management, Simultaneous Action Selection, Take That, Turn Order: Role Order",7.46,2.20,176920
275,Ghost Stories,2008,boardgame,"Strategy Games, Thematic Games","Cooperative Game, Dice Rolling, Grid Movement, Modular Board, Move Through Deck, Solo / Solitaire Game, Variable Player Powers",7.32,2.91,37046
276,Acquire,1964,boardgame,Strategy Games,"Hand Management, Investment, Market, Ownership, Square Grid, Stock Holding, Tile Placement, Victory Points as a Resource",7.34,2.50,5
277,Star Wars: Armada,2015,boardgame,"Thematic Games, Wargames","Action Queue, Critical Hits and Failures, Dice Rolling, Movement Template, Simulation, Variable Player Powers",7.85,3.16,163745
278,Dixit,2008,boardgame,Party Games,"Race, Simultaneous Action Selection, Storytelling, Targeted Clues, Voting",7.26,1.22,39856
279,Viscounts of the West Kingdom,2020,boardgame,Strategy Games,"Deck Bag and Pool Building, Hand Management, Modular Board, Rondel, Set Collection, Solo / Solitaire Game, Variable Player Powers, Worker Placement",8.16,3.50,296151
280,Agricola: All Creatures Big and Small,2012,boardgame,Strategy Games,"Automatic Resource Growth, Enclosure, Increase Value of Unchosen Resources, Tile Placement, Worker Placement",7.38,2.35,119890
281,Takenoko,2011,boardgame,Family Games,"Action Points, Dice Rolling, End Game Bonuses, Grid Movement, Hexagon Grid, Modular Board, Network and Route Building, Pattern Building, Set Collection, Tile Placement",7.27,1.98,70919
282,Here I Stand,2006,boardgame,Wargames,"Campaign / Battle Card Driven, Dice Rolling, Hand Management, Point to Point Movement, Scenario / Mission / Campaign Game, Simulation, Variable Player Powers",7.91,4.17,17392
283,Neuroshima Hex! 3.0,2006,boardgame,Strategy Games,"Area Majority / Influence, Connections, Grid Movement, Hand Management, Hexagon Grid, Line of Sight, Player Elimination, Solo / Solitaire Game, Team-Based Game, Tile Placement, Variable Player Powers",7.40,2.61,21241
284,Love Letter,2012,boardgame,Family Games,"Hand Management, Player Elimination, Score-and-Reset Game",7.23,1.19,129622
285,Dune,2019,boardgame,"Strategy Games, Thematic Games","Alliances, Area Majority / Influence, Area Movement, Auction/Bidding, Bribery, Force Commitment, Map Deformation, Predictive Bid, Take That, Variable Player Powers",8.16,3.89,283355
286,Evolution: Climate,2016,boardgame,"Strategy Games, Thematic Games","Action Points, Events, Hand Management, Push Your Luck, Secret Unit Deployment, Simulation, Take That, Turn Order: Progressive",7.62,2.78,182134
287,Survive: Escape from Atlantis!,1982,boardgame,Family Games,"Action Points, Dice Rolling, Grid Movement, Hexagon Grid, Map Reduction, Memory, Modular Board, Secret Unit Deployment, Take That",7.31,1.71,2653
288,Altiplano,2017,boardgame,Strategy Games,"Action Points, Contracts, Deck Bag and Pool Building, Variable Player Powers",7.54,3.33,234487
289,Die Macher,1986,boardgame,Strategy Games,"Alliances, Area Majority / Influence, Auction/Bidding, Dice Rolling, Hand Management, Simultaneous Action Selection",7.63,4.32,1
290,Harry Potter: Hogwarts Battle,2016,boardgame,"Strategy Games, Thematic Games","Cooperative Game, Deck Bag and Pool Building, Variable Player Powers",7.46,2.08,199042
291,Bärenpark,2017,boardgame,Family Games,"Card Drafting, Grid Coverage, Set Collection, Tile Placement",7.36,1.64,219513
292,Notre Dame,2007,boardgame,Strategy Games,"Area Majority / Influence, Card Drafting, Point to Point Movement",7.34,2.75,25554
293,San Juan,2004,boardgame,Strategy Games,"Action Drafting, Follow, Hand Management, Set Collection, Variable Phase Order",7.25,2.29,8217
